"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"197187838784176129","197186781760864256","34876390","","","2012-05-01 04:56:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@bigthingist thx. I'm working on some projects on restas right now.. btw 12 yrs on cl sounds awesome!"
"197185578830282752","197166003313053697","34876390","","","2012-05-01 04:48:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@bigthingist what would you recommend? CL or racket? I've actually thought cl was more production ready..(I did do a racket web project tho)"
"197113415448272896","","","","","2012-05-01 00:01:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Same here, can't quit http://t.co/TXde4WWT","http://opinionator.blogs.nytimes.com/2012/04/30/up-in-smoke/?hp&5E33"
"197111653098201089","197111277338902528","9470782","","","2012-04-30 23:54:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@alokt_ @zaurav ui*"
"197111277338902528","197108938196529152","287755950","","","2012-04-30 23:52:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@zaurav not much. I thought about reviving that marriage game a couple of months ago... did some iu work.. will show you someday"
"197108844961337344","197107804237086720","287755950","","","2012-04-30 23:43:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@zaurav srsly tho, picked the bulls but too bad about rose."
"197108620578660352","197107804237086720","287755950","","","2012-04-30 23:42:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@zaurav arrgg OKC..... (buzzer beater still hurts)"
"197107041242857472","197102079272173568","287755950","","","2012-04-30 23:35:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@zaurav hey man what's up? Weren't you a heat fan last year??"
"197002158732873729","","","","","2012-04-30 16:39:09 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","http://t.co/sE7qftuo","http://www.nytimes.com/2012/04/29/opinion/sunday/unexceptionalism-a-primer.html"
"196339562019172353","","","","","2012-04-28 20:46:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","holy karma! ?@newsyc50: How Apple Sidesteps Billions in Taxes http://t.co/QFaEYIFq (http://t.co/B0yA2VFA) via @alokt_ #trending?","http://nyti.ms/IvASvO","http://bit.ly/IvATj8"
"195987538173898752","","","195975101622124544","10454572","2012-04-27 21:27:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jennydeluxe: not tired of it yet rt @khoi NASA pix of Space Shuttle Enterprise coming to New York. http://t.co/NVgSsbHn","http://www.flickr.com/photos/nasahqphoto/7119411829/"
"195935164810014720","","","195881164370739200","20405425","2012-04-27 17:59:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TheBestMicah: By the way, DFW friends - the very talented @erniehalter will be at The Aardvark in FW on Saturday night. Go check him ..."
"195758108902043648","","","195743078932430848","15446126","2012-04-27 06:15:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @designmilk: ?You can worry about what might happen, or you can make things happen.? http://t.co/S17HMQZo","http://bit.ly/Is9X0y"
"194823465352708097","","","","","2012-04-24 16:21:48 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","American dream http://t.co/zMKAWano","http://i.imgur.com/yxTFW.jpg"
"194500273308307456","","","","","2012-04-23 18:57:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hating the iPhone for not having arrow keys..."
"194278911243333632","","","","","2012-04-23 04:17:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hello SAM, goodbye gevey"
"193773758446710784","193771910927093760","14358152","","","2012-04-21 18:50:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@mentalguy you got me there but that's why its let* is frowned upon afaik. If you use overuse let* you end up with an imperative style."
"193771389822578688","193767685035786241","14358152","","","2012-04-21 18:41:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@mentalguy its not let vs let* but that let* is more imperative rather than functional."
"192906635767853056","","","","","2012-04-19 09:25:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It was the best of websites, it was the worst of websites..."
"192791791999787008","","","","","2012-04-19 01:48:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","http://t.co/n6LjuFwK","http://twitter.com/alokt_/status/192791791999787008/photo/1"
"189528887011717121","","","189509721626128385","6509982","2012-04-10 01:43:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @argv0: OH: ""do you want to be the instagram of nosql or not?!"""
